DATE,VERSION NO.,CHANGE TYPE,REASON FOR CHANGE,PERSON WHO MADE CHANGE
1/8/2025 18:59:26,my_lazada_purchases_v2,Change H83-H84,Date is incorrect. From 10/27/2024 to 10/25/2024,Janice
1/8/2025 19:03:27,my_lazada_purchases_v2,Change H25,Date is incorrect. From 10/27/2024 to 10/25/2024,Janice
1/8/2025 19:25:58,my_lazada_purchases_v2,Change Order ID,Incorrect order ID From 919843774911266 to 911483870311266,Janice
1/8/2025 19:27:58,my_lazada_purchases_v2,Change H86 to H87,Date is incorrect From 10/25/2024 to 10/21/2024,Janice
1/8/2025 19:36:40,my_lazada_purchases_v2,Change H88,Date is incorrect From 10/25/2024 to 10/21/2024,Janice
1/8/2025 19:38:53,my_lazada_purchases_v2,Change H98,Date is incorrect from 10/20/2024 to 10/13/2024,Janice
1/8/2025 19:41:05,my_lazada_purchases_v2,Change H99-H100,Date is incorrect from 10/20/2024 to 10/12/2024,Janice
1/8/2025 19:43:45,my_lazada_purchases_v2,Change H104,Date is incorrect from 10/12/2024 to 10/9/2024,Janice
1/10/2025 8:08:50,my_lazada_purchases_v2,Change H104,Date is incorrect from 10/12/2024 to 10/9/2024,Janice
1/10/2025 8:11:28,my_lazada_purchases_v2,Change H114,Datae is incorrect from 10/09/2024 yo 10/06/2024,Janice
1/10/2025 8:13:51,my_lazada_purchases_v2,Change H128,Date is incorrect from 10/05/2024 to 09/30/2024,Janice
1/10/2025 8:22:58,my_lazada_purchases_v2,Change H129,Date is incorrect from 10/03/2024 to 09/30/2024,Janice
1/10/2025 8:33:22,my_lazada_purchases_v2,Change H136,Date is incorrect from 09/30/2024 to 09/28/2024,Janice
1/10/2025 8:36:04,my_lazada_purchases_v2,Change H147,Date is incorrect from 09/26//2024 to 09/22/2024,Janice
1/10/2025 8:57:39,my_lazada_purchases_v2,Change H148 to H149,Date is incorrect from 09/26/2024 to 09/22/2024,Janice
1/10/2025 9:07:15,my_lazada_purchases_v2,Change H150,Date is incorrect from 09/22/2024 to 09/17/2024,Janice
1/10/2025 9:09:25,my_lazada_purchases_v2,Change H151,Date is incorrect from 09/22/2024 to 09/16/2024,Janice
1/10/2025 9:11:05,my_lazada_purchases_v2,Change H169,Date is incorrect from 09/13/024 to 0909/2024,Janice
1/10/2025 9:15:27,my_lazada_purchases_v2,Change H170 - H171,Date is incorrect from 09/13/2024 to 09/09/2024,Janice
2/18/2025 11:10:31,my_lazada_purchases_v2,Adding Column ,Adding column name price to determine how much will be the discount,Janice
2/18/2025 16:03:46,my_lazada_purchases_v2,Delete row ,(order no. 841925240911266) Delivery is not stated,Janice
2/18/2025 16:08:44,my_lazada_purchases_v2,Format all the column,Apply to all,Janice
